Title,Note,URL,Tags,Comment
,,,,
Hooray for Pizza Day,,https://www.google.com/maps/place/Hooray+for+Pizza+Day/data=!4m2!3m1!1s0x89d4cd01b5316fad:0x67bfa40541579f44,,
Kim's Noodle,,https://www.google.com/maps/place/Kim's+Noodle/data=!4m2!3m1!1s0x882b330063043ba7:0x6697fd71b255b03,,
Venerica Meats Grill,,https://www.google.com/maps/place/Venerica+Meats+Grill/data=!4m2!3m1!1s0x882b3754151f6c7d:0xcd6b7b16d42cc1cd,,
Patty Wagon,,https://www.google.com/maps/place/Patty+Wagon/data=!4m2!3m1!1s0x89d4cf000c9e4a61:0xda7d82b95d3a8f5,,
Luis H Restaurant,,https://www.google.com/maps/place/Luis+H+Restaurant/data=!4m2!3m1!1s0x89d4cb1103ce93ab:0xc716656cf7b7f1df,,
Cuisine by Noel,,https://www.google.com/maps/place/Cuisine+by+Noel/data=!4m2!3m1!1s0x882b359cb8a697c7:0x5a8ef7b9905a2b33,,
First Class Delites,,https://www.google.com/maps/place/First+Class+Delites/data=!4m2!3m1!1s0x882b36b4d7421415:0x9e40673487f132ac,,
Karachi Nihari & BBQ,,https://www.google.com/maps/place/Karachi+Nihari+%26+BBQ/data=!4m2!3m1!1s0x89d4d1000853c3d1:0x8d11a4862cd6cda3,,
Daymi,,https://www.google.com/maps/place/Daymi/data=!4m2!3m1!1s0x882b350be0e0931f:0x8b42ee42661c29c6,,
Shuyi Tealicious 书亦烧仙草 Burlington,,https://www.google.com/maps/place/Shuyi+Tealicious+%E4%B9%A6%E4%BA%A6%E7%83%A7%E4%BB%99%E8%8D%89+Burlington/data=!4m2!3m1!1s0x882b618abd4ab013:0x150514acc8383f62,,
2 Bicas,,https://www.google.com/maps/place/2+Bicas/data=!4m2!3m1!1s0x882b14273816ea71:0x77b124a5924e03bd,,
TricNic Jerk Centre,,https://www.google.com/maps/place/TricNic+Jerk+Centre/data=!4m2!3m1!1s0x882b15b2cf5a8f09:0xffc6f8cf14b295e5,,
Captain Azza,,https://www.google.com/maps/place/Captain+Azza/data=!4m2!3m1!1s0x882b374d35d9d7d7:0xd5e6d7a270a28b2c,,
9 Mile Jamaican and International Cuisine,,https://www.google.com/maps/place/9+Mile+Jamaican+and+International+Cuisine/data=!4m2!3m1!1s0x882b35782eda3a49:0x735ec6bba27fa7b2,,
My choice cafe,,https://www.google.com/maps/place/My+choice+cafe/data=!4m2!3m1!1s0x89d4d1e633a77461:0x57b5b30ce4209985,,
La Casetta,,https://www.google.com/maps/place/La+Casetta/data=!4m2!3m1!1s0x89d4cda843fc39e9:0x4efeba4e84943c32,,
