Title,Note,URL,Tags,Comment
,,,,
Phin Café Bar,,https://www.google.com/maps/place/Phin+Caf%C3%A9+Bar/data=!4m2!3m1!1s0x89d4d16da1decbab:0xab5394ca71893774,,
Wok of Fame Restaurant,,https://www.google.com/maps/place/Wok+of+Fame+Restaurant/data=!4m2!3m1!1s0x882b3fc4fc3dfb85:0xf0e7755244aaafdc,,
Agak Agak Canada,,https://www.google.com/maps/place/Agak+Agak+Canada/data=!4m2!3m1!1s0x89d4cb9529fe0523:0xc25da818644aa5b0,,
LA LA Bakeshop (Bay),,https://www.google.com/maps/place/LA+LA+Bakeshop+(Bay)/data=!4m2!3m1!1s0x882b3500324c1739:0x74eba2f986b81283,,
Republika RestoBar and Grill,,https://www.google.com/maps/place/Republika+RestoBar+and+Grill/data=!4m2!3m1!1s0x882b33a4d05b48a7:0x18d055870d3b367f,,
Kiko's,,https://www.google.com/maps/place/Kiko's/data=!4m2!3m1!1s0x882b335d5e2c620f:0x353b669dd5b8e9e2,,
Phancy's Bodega,,https://www.google.com/maps/place/Phancy's+Bodega/data=!4m2!3m1!1s0x882b35ae1c383fdd:0x92ee5eb8c00bff96,,
Mermaid Express,,https://www.google.com/maps/place/Mermaid+Express/data=!4m2!3m1!1s0x882b43ee49a6f897:0x914c2ba5ac968fef,,
TSO FAMOUS,,https://www.google.com/maps/place/TSO+FAMOUS/data=!4m2!3m1!1s0x882b355c2c65aa3b:0xb89e5ebac149a80c,,
Bello Pizza Collingwood,,https://www.google.com/maps/place/Bello+Pizza+Collingwood/data=!4m2!3m1!1s0x882a7b4349261757:0x820b464c7679c1b8,,
The Iron Skillet Collingwood,,https://www.google.com/maps/place/The+Iron+Skillet+Collingwood/data=!4m2!3m1!1s0x882a79602633c96d:0x9b0c9c76442a6683,,
South Indian Flavours,,https://www.google.com/maps/place/South+Indian+Flavours/data=!4m2!3m1!1s0x882a7932318e7bd3:0xab6e98a5e4cffc16,,
Poppy's French Bistro,,https://www.google.com/maps/place/Poppy's+French+Bistro/data=!4m2!3m1!1s0x882a7b105900b6c7:0x7a8b055fc3972dc9,,
Low Down,,https://www.google.com/maps/place/Low+Down/data=!4m2!3m1!1s0x882a7bb7591e34b9:0x9be010cee517b1bc,,
Just Chicken Portuguese BBQ,,https://www.google.com/maps/place/Just+Chicken+Portuguese+BBQ/data=!4m2!3m1!1s0x89d4cd0058b3abcb:0x3a595f8f01201abb,,
Bezaan Food Truck,,https://www.google.com/maps/place/Bezaan+Food+Truck/data=!4m2!3m1!1s0x89d4cf3f76fd85f3:0xeceacbedc1f82827,,
Fuego’s HK,,https://www.google.com/maps/place/Fuego%E2%80%99s+HK/data=!4m2!3m1!1s0x89d4cd7987f11b63:0x3523326d5f0321ed,,
Chiang Rai Thai Kitchen and Bar,,https://www.google.com/maps/place/Chiang+Rai+Thai+Kitchen+and+Bar/data=!4m2!3m1!1s0x89d4d53dcdd8b2ef:0xea101a3f89b1671c,,
Arsenio's Kitchen,,https://www.google.com/maps/place/Arsenio's+Kitchen/data=!4m2!3m1!1s0x89d4ce44f47c8c6b:0x5e6af78e4a50e08e,,
R&D,,https://www.google.com/maps/place/R%26D/data=!4m2!3m1!1s0x882b34c4a0a508f9:0xde26fdf6d146c487,,
BOM Bibimbap,,https://www.google.com/maps/place/BOM+Bibimbap/data=!4m2!3m1!1s0x882b34ca0fa3520b:0x68fadf66f5714fb1,,
Grill Gate,,https://www.google.com/maps/place/Grill+Gate/data=!4m2!3m1!1s0x882b2d3734626b11:0x1b48278c5f8831fe,,
Namul,,https://www.google.com/maps/place/Namul/data=!4m2!3m1!1s0x882b338085faa543:0x57a4dc3399cbb810,,
Dosa Kitchen | South Indian Dosa Restaurant | Scarborough,,https://www.google.com/maps/place/Dosa+Kitchen+%7C+South+Indian+Dosa+Restaurant+%7C+Scarborough/data=!4m2!3m1!1s0x89d4d18c77231def:0xcac12991261f8e48,,
Zein Shawarma | Order Online: zeinshawarma.ca,,https://www.google.com/maps/place/Zein+Shawarma+%7C+Order+Online:+zeinshawarma.ca/data=!4m2!3m1!1s0x89d4cd69c69c37af:0xbf4d0c166833b7b5,,
Oji Seichi,,https://www.google.com/maps/place/Oji+Seichi/data=!4m2!3m1!1s0x89d4cbd733998047:0x9856f46e5c1957be,,
GC Jerk Xpress,,https://www.google.com/maps/place/GC+Jerk+Xpress/data=!4m2!3m1!1s0x882b39e7af891ead:0x9abdafaba57b67ba,,
Birria Catrina Roncesvalles,,https://www.google.com/maps/place/Birria+Catrina+Roncesvalles/data=!4m2!3m1!1s0x882b35083cf2a8e1:0x3ce2f43b35ae8418,,
Sai Thai Chef,,https://www.google.com/maps/place/Sai+Thai+Chef/data=!4m2!3m1!1s0x882ef1cdfeab98b1:0x4b836ab7b5ac784a,,
Cambridge Mill,,https://www.google.com/maps/place/Cambridge+Mill/data=!4m2!3m1!1s0x882c75f500ffeb39:0x6e5786ca7189d120,,
Lobster Boil Seafood House,,https://www.google.com/maps/place/Lobster+Boil+Seafood+House/data=!4m2!3m1!1s0x882b2d006062b1df:0x64415b51a123bbfa,,
Lokum Eats - Food by Tradition,,https://www.google.com/maps/place/Lokum+Eats+-+Food+by+Tradition/data=!4m2!3m1!1s0x882b357ab08e0ee7:0x5b59479352f31e91,,
BHK Roll - Biryani House Original Kathi Roll - By Chef Debu,,https://www.google.com/maps/place/BHK+Roll+-+Biryani+House+Original+Kathi+Roll+-+By+Chef+Debu/data=!4m2!3m1!1s0x882b35dbbf206dad:0x7216a54c6412df0b,,
SPICE OF JAFFNA,,https://www.google.com/maps/place/SPICE+OF+JAFFNA/data=!4m2!3m1!1s0x89d4d711860e7b05:0x3803a2f21b7cbf33,,
Quality Bread Bakery,,https://www.google.com/maps/place/Quality+Bread+Bakery/data=!4m2!3m1!1s0x89d4d0f7c1c5894b:0x4b53685acd03e14f,,
Wings N Dip,"AYCE on Tuesday
",https://www.google.com/maps/place/Wings+N+Dip/data=!4m2!3m1!1s0x882b3583e5f8d21f:0x7f61b28ea51aeb4b,,
