Title,Note,URL,Tags,Comment
,,,,
Zen Kyoto - Bay Adelaide Centre,,https://www.google.com/maps/place/Zen+Kyoto+-+Bay+Adelaide+Centre/data=!4m2!3m1!1s0x882b35118486888d:0x8726400bd73b5050,,
Jesse Jr. Filipino Restaurant,,https://www.google.com/maps/place/Jesse+Jr.+Filipino+Restaurant/data=!4m2!3m1!1s0x89d4cd0016950b03:0xc073edf55dccfdd6,,
Cafe De Hong Kong 良心冰室,,https://www.google.com/maps/place/Cafe+De+Hong+Kong+%E8%89%AF%E5%BF%83%E5%86%B0%E5%AE%A4/data=!4m2!3m1!1s0x89d4d57a58d9f5e7:0x8943a31ead244054,,
Phat Kaphrao,,https://www.google.com/maps/place/Phat+Kaphrao/data=!4m2!3m1!1s0x882b33b88e284cd3:0xede0e5af8adc3bc5,,
Shelby's Legendary Shawarma,,https://www.google.com/maps/place/Shelby's+Legendary+Shawarma/data=!4m2!3m1!1s0x89d4cdbf236b50ed:0x727c1f36aabddd8f,,
Mikaku Udon Bar,,https://www.google.com/maps/place/Mikaku+Udon+Bar/data=!4m2!3m1!1s0x89d4cb0016b95107:0xbd553e1e56982005,,
Red House Bakery,,https://www.google.com/maps/place/Red+House+Bakery/data=!4m2!3m1!1s0x89d4d17120db9989:0xe84d05caa1a6b049,,
Momo2Go - Brampton,,https://www.google.com/maps/place/Momo2Go+-+Brampton/data=!4m2!3m1!1s0x882b3fbfd325b025:0x2ce0362d612fcc1d,,
Pho Ngoc Yen 3 Toronto,,https://www.google.com/maps/place/Pho+Ngoc+Yen+3+Toronto/data=!4m2!3m1!1s0x882b352e465a28c7:0xdab0147cbb68cf20,,
Schwartz's Deli,,https://www.google.com/maps/place/Schwartz's+Deli/data=!4m2!3m1!1s0x4cc91a3358006b11:0xd961a1e5148bf840,,
La Banquise,,https://www.google.com/maps/place/La+Banquise/data=!4m2!3m1!1s0x4cc91bcf6fd7097f:0x8fb883c1e73fdf11,,
Rose's Viet Subs,,https://www.google.com/maps/place/Rose's+Viet+Subs/data=!4m2!3m1!1s0x882b35000148c5b1:0x2264cd674911d1dc,,
"t-buds, Food & Tea Lounge in Toronto",,"https://www.google.com/maps/place/t-buds,+Food+%26+Tea+Lounge+in+Toronto/data=!4m2!3m1!1s0x882b32e9f071f307:0xb1007e48159c95d8",,
DM Chicken,,https://www.google.com/maps/place/DM+Chicken/data=!4m2!3m1!1s0x89d4d15f165b2cab:0x9de35f440dcc5359,,
SMSHBRGR - Main St Markham,,https://www.google.com/maps/place/SMSHBRGR+-+Main+St+Markham/data=!4m2!3m1!1s0x89d4d7e498cdc7ff:0x48331d4c5608eb04,,
Banh Mi House Plus,,https://www.google.com/maps/place/Banh+Mi+House+Plus/data=!4m2!3m1!1s0x89d4d7fff97c45a7:0x22697756cceda361,,
Banh Mi House,,https://www.google.com/maps/place/Banh+Mi+House/data=!4m2!3m1!1s0x89d4d5d277a6b479:0x73c5163a1b7c6d95,,
Noodle Fusion 美味閣,,https://www.google.com/maps/place/Noodle+Fusion+%E7%BE%8E%E5%91%B3%E9%96%A3/data=!4m2!3m1!1s0x89d4d5002a114f4f:0xf5cc2763842ed6a8,,
Sinjeon Topokki- Finch,,https://www.google.com/maps/place/Sinjeon+Topokki-+Finch/data=!4m2!3m1!1s0x882b2d4ba4b5c6a7:0xee98e2e47147eb92,,
Sampaguita Village Family Restaurant,,https://www.google.com/maps/place/Sampaguita+Village+Family+Restaurant/data=!4m2!3m1!1s0x882b32432dd7b4df:0xefe410bf03b10712,,
Kabalen Restaurant,,https://www.google.com/maps/place/Kabalen+Restaurant/data=!4m2!3m1!1s0x882b325d0bf47b0f:0xe360f7186c62aa89,,
Lo Banh Mi Tan Khanh,,https://www.google.com/maps/place/Lo+Banh+Mi+Tan+Khanh/data=!4m2!3m1!1s0x882b33b3407a5e07:0x2c2b7d804977f28d,,
Jersey Mike's Subs,,https://www.google.com/maps/place/Jersey+Mike's+Subs/data=!4m2!3m1!1s0x89d4d5073224b1c5:0xc4731731e52dae0b,,
Banh Mi Gao Nau,,https://www.google.com/maps/place/Banh+Mi+Gao+Nau/data=!4m2!3m1!1s0x882b2bc993d73a55:0xa3958d2ac0674265,,
Banh Mi Nana,,https://www.google.com/maps/place/Banh+Mi+Nana/data=!4m2!3m1!1s0x882b2bb3d5961f03:0x4844bbb224172a9f,,
Chi Star House,Ho Fun,https://www.google.com/maps/place/Chi+Star+House/data=!4m2!3m1!1s0x882b2b4aefa78955:0x60df5f8ade124080,,
