Title,Note,URL,Tags,Comment
,,,,
Fat Bastard Burrito,,https://www.google.com/maps/place/Fat+Bastard+Burrito/data=!4m2!3m1!1s0x882b3594fcc6e5f7:0xe7565b9df2e8a371,,
La Diperie Danforth,,https://www.google.com/maps/place/La+Diperie+Danforth/data=!4m2!3m1!1s0x89d4cc9c29fd69e3:0x70e4295713796dba,,
Stacked Pancake & Breakfast House,,https://www.google.com/maps/place/Stacked+Pancake+%26+Breakfast+House/data=!4m2!3m1!1s0x89d4cd77df8d4d47:0x62a789b1695d8e5f,,
Karaage Mukai,,https://www.google.com/maps/place/Karaage+Mukai/data=!4m2!3m1!1s0x89d4cd6f779405b1:0xcea17ebf053b19d5,,
Pizza Bono,,https://www.google.com/maps/place/Pizza+Bono/data=!4m2!3m1!1s0x89d4cd4064ce1171:0xc32df6258d41446f,,
Tim Hortons,,https://www.google.com/maps/place/Tim+Hortons/data=!4m2!3m1!1s0x882b33ecdf215779:0xbe1e4ba8583b976d,,
Pizza Hut,,https://www.google.com/maps/place/Pizza+Hut/data=!4m2!3m1!1s0x882b33edb08f284f:0x5b910ebeba198bcb,,
Subway,,https://www.google.com/maps/place/Subway/data=!4m2!3m1!1s0x882b33ecd1763b57:0x4a70c2f1aa9c975b,,
Monkey Sushi Bloor (All You Can Eat),,https://www.google.com/maps/place/Monkey+Sushi+Bloor+(All+You+Can+Eat)/data=!4m2!3m1!1s0x882b3577b612f483:0x4530039f09dc3f5a,,
Billy's Souvlaki Place,,https://www.google.com/maps/place/Billy's+Souvlaki+Place/data=!4m2!3m1!1s0x882b345e5ebe9ef5:0x580d40d39d85fb0c,,
241 Pizza,,https://www.google.com/maps/place/241+Pizza/data=!4m2!3m1!1s0x882b345c37d1add9:0x8d5876eb1257f80,,
Jerk King,,https://www.google.com/maps/place/Jerk+King/data=!4m2!3m1!1s0x882b345ced4141eb:0xa612e4c0fecf7b83,,
Komi Banh Mi Bar,,https://www.google.com/maps/place/Komi+Banh+Mi+Bar/data=!4m2!3m1!1s0x882b3536b167b79d:0xfdcaa8f0a11da7e,,
The Whole Plate,,https://www.google.com/maps/place/The+Whole+Plate/data=!4m2!3m1!1s0x882b35b5e57cb507:0x8d3944e2e808da5f,,
Ice Queen Restaurant,,https://www.google.com/maps/place/Ice+Queen+Restaurant/data=!4m2!3m1!1s0x882b35b63e44d719:0x5abdf137c2cd2068,,
Burrito Boyz,,https://www.google.com/maps/place/Burrito+Boyz/data=!4m2!3m1!1s0x882b35b64e2f9d17:0xdc16008d01a2914b,,
