Title,Note,URL,Tags,Comment
,,,,
Mandarin Restaurant,,https://www.google.com/maps/place/Mandarin+Restaurant/data=!4m2!3m1!1s0x882b2dfd8f94a9b3:0x3b6c4bbd262e1dbb,,
Yummi's,,https://www.google.com/maps/place/Yummi's/data=!4m2!3m1!1s0x89d4cdf8ab774665:0x6287fe83e449923d,,
eaTO- Indian Street Food,,https://www.google.com/maps/place/eaTO-+Indian+Street+Food/data=!4m2!3m1!1s0x89d4cda8211d98ab:0xe16c845f410e30f3,,
Bourbon St. Grill (Yonge Eglinton Centre),,https://www.google.com/maps/place/Bourbon+St.+Grill+(Yonge+Eglinton+Centre)/data=!4m2!3m1!1s0x882b330014b11179:0xa14297ce3ff135a3,,
Piano Piano,,https://www.google.com/maps/place/Piano+Piano/data=!4m2!3m1!1s0x882b337977abfa0b:0xa6ab9538cf42a9ba,,
House Of Gourmet,,https://www.google.com/maps/place/House+Of+Gourmet/data=!4m2!3m1!1s0x882b34c380b1bab9:0x855eeb280fca7897,,
El Trompo,,https://www.google.com/maps/place/El+Trompo/data=!4m2!3m1!1s0x882b34c1f8bb2bf1:0xee13ed04ab9ff32b,,
Burrito Boyz Queen & Spadina,,https://www.google.com/maps/place/Burrito+Boyz+Queen+%26+Spadina/data=!4m2!3m1!1s0x882b352f8017661d:0xed568dd0222be292,,
Ajisen Ramen (Chinatown),,https://www.google.com/maps/place/Ajisen+Ramen+(Chinatown)/data=!4m2!3m1!1s0x882b34c3966ed4f7:0x71a6447306111d9f,,
KINTON RAMEN KOREATOWN,,https://www.google.com/maps/place/KINTON+RAMEN+KOREATOWN/data=!4m2!3m1!1s0x882b348d075a6d53:0x1a8a362f69ec608,,
RUDY,,https://www.google.com/maps/place/RUDY/data=!4m2!3m1!1s0x882b35d5a5cba85f:0x1856e4c097f0ef13,,
