Title,Note,URL,Tags,Comment
,,,,
TENACH MEXICAN RESTAURANT,,https://www.google.com/maps/place/TENACH+MEXICAN+RESTAURANT/data=!4m2!3m1!1s0x882b3479b8112b3f:0x799ebe0232b45cd4,,
Greek Gordo,,https://www.google.com/maps/place/Greek+Gordo/data=!4m2!3m1!1s0x882b35339e559a3f:0x8f855c2c351dc170,,
Cano Restaurant,,https://www.google.com/maps/place/Cano+Restaurant/data=!4m2!3m1!1s0x882b3476c9609515:0x772256d7afcaf077,,
La Taqueria,,https://www.google.com/maps/place/La+Taqueria/data=!4m2!3m1!1s0x882b35000b6465af:0x13e023cce479fd4f,,
Sushi California,,https://www.google.com/maps/place/Sushi+California/data=!4m2!3m1!1s0x882b34730cb7a6ab:0x4e7fb552d40d53b,,
Uai Pizzeria & Restaurant,,https://www.google.com/maps/place/Uai+Pizzeria+%26+Restaurant/data=!4m2!3m1!1s0x882b35c885ac7e8f:0xa34c98b62390d16c,,
El rincón del pastorcito,,https://www.google.com/maps/place/El+rinc%C3%B3n+del+pastorcito/data=!4m2!3m1!1s0x882b35003fced681:0x601b2b0296334449,,
Popeyes Louisiana Kitchen,,https://www.google.com/maps/place/Popeyes+Louisiana+Kitchen/data=!4m2!3m1!1s0x882b3473e4bfd2c5:0xa7248c4a1fff9da3,,
Marcello's Pizzeria,,https://www.google.com/maps/place/Marcello's+Pizzeria/data=!4m2!3m1!1s0x882b3473fb59db25:0x5d26270dddd85084,,
Atomic 10,,https://www.google.com/maps/place/Atomic+10/data=!4m2!3m1!1s0x882b353ac98a1963:0xe8d614d0e379d2e6,,
Salonika Estiatorio,,https://www.google.com/maps/place/Salonika+Estiatorio/data=!4m2!3m1!1s0x89d4cd0047bd33bb:0x7de7020a34c05353,,
Astoria Shish Kebob House - Danforth,,https://www.google.com/maps/place/Astoria+Shish+Kebob+House+-+Danforth/data=!4m2!3m1!1s0x89d4cc9c2f5e0f71:0x6c7528dbbc20a6df,,
Casa Sushi,,https://www.google.com/maps/place/Casa+Sushi/data=!4m2!3m1!1s0x89d4cc9c5b486441:0xbc450ce0956557ce,,
BBQ Chicken Danforth,,https://www.google.com/maps/place/BBQ+Chicken+Danforth/data=!4m2!3m1!1s0x89d4cdc3ec348d95:0xe27e27c031a729e4,,
Mary Brown's Chicken,,https://www.google.com/maps/place/Mary+Brown's+Chicken/data=!4m2!3m1!1s0x89d4cdcf8bdbcb0f:0xececb15850dc659c,,
Tapps Restaurant & Bar 🍻,,https://www.google.com/maps/place/Tapps+Restaurant+%26+Bar+%F0%9F%8D%BB/data=!4m2!3m1!1s0x89d4cdff01fc45ed:0xe651dc43cd88dda2,,
Katsu Japanese Restaurant,,https://www.google.com/maps/place/Katsu+Japanese+Restaurant/data=!4m2!3m1!1s0x89d4cc9caef1d94d:0xe02218b7ea999eb0,,
Pho Vietnam Family Restaurant,,https://www.google.com/maps/place/Pho+Vietnam+Family+Restaurant/data=!4m2!3m1!1s0x89d4d3ff3dcb2b3f:0x89e13f3fcd22811f,,
Chungchun Rice Dog Scarborough,,https://www.google.com/maps/place/Chungchun+Rice+Dog+Scarborough/data=!4m2!3m1!1s0x89d4d1cf8664e373:0xd83ab1213e3074db,,
Méxology Bistro,,https://www.google.com/maps/place/M%C3%A9xology+Bistro/data=!4m2!3m1!1s0x882b33bc761bf001:0x8d28de2a5c9e82e3,,
Frenzline Sports Bar & Grill,,https://www.google.com/maps/place/Frenzline+Sports+Bar+%26+Grill/data=!4m2!3m1!1s0x882b33ed0fa22565:0x73f88c40fef9111a,,
Landmark Restaurant & Tavern,,https://www.google.com/maps/place/Landmark+Restaurant+%26+Tavern/data=!4m2!3m1!1s0x882b33ed06cd3af3:0x9e8fb54743cf7bdd,,
Pizza Hut,,https://www.google.com/maps/place/Pizza+Hut/data=!4m2!3m1!1s0x882b33edb08f284f:0x5b910ebeba198bcb,,
Subway,,https://www.google.com/maps/place/Subway/data=!4m2!3m1!1s0x882b33ecd1763b57:0x4a70c2f1aa9c975b,,
Souvlaki Place,,https://www.google.com/maps/place/Souvlaki+Place/data=!4m2!3m1!1s0x882b35ee2c368b71:0xfcc95323e7d06240,,
Monkey Sushi Bloor (All You Can Eat),,https://www.google.com/maps/place/Monkey+Sushi+Bloor+(All+You+Can+Eat)/data=!4m2!3m1!1s0x882b3577b612f483:0x4530039f09dc3f5a,,
1910 La Mexicana,,https://www.google.com/maps/place/1910+La+Mexicana/data=!4m2!3m1!1s0x882b35a47ddbb99b:0xb0d8da8beb288df0,,
Taco Bell,,https://www.google.com/maps/place/Taco+Bell/data=!4m2!3m1!1s0x882b35e7ef71c411:0x4d8f96d649f93848,,
The Three Speed,,https://www.google.com/maps/place/The+Three+Speed/data=!4m2!3m1!1s0x882b34435bcdbbf9:0x2b12bf5713112579,,
Duffy's Tavern,,https://www.google.com/maps/place/Duffy's+Tavern/data=!4m2!3m1!1s0x882b37ae4284f0bb:0xa5beeee05348e168,,
Seoul Shakers,,https://www.google.com/maps/place/Seoul+Shakers/data=!4m2!3m1!1s0x882b35a2cb1edbc9:0x850118e16803156f,,
Chito's Pizza And Foods,,https://www.google.com/maps/place/Chito's+Pizza+And+Foods/data=!4m2!3m1!1s0x882b3446a1ef8b9f:0x2b524b2ee406a05,,
Solkatt Cafe,,https://www.google.com/maps/place/Solkatt+Cafe/data=!4m2!3m1!1s0x882b35b4bd238fa9:0x68d4d5bb6c59947a,,
The Burger Bros (BLOOR),,https://www.google.com/maps/place/The+Burger+Bros+(BLOOR)/data=!4m2!3m1!1s0x882b356c0cf238ff:0xfc26a076f7d15eb3,,
Kami Sushi,,https://www.google.com/maps/place/Kami+Sushi/data=!4m2!3m1!1s0x882b35ca82ea4cc7:0x359dd144eadf1acd,,
AM Bagel,,https://www.google.com/maps/place/AM+Bagel/data=!4m2!3m1!1s0x882b35869f9c677b:0x63deee51e36972e,,
Tahini's Shawarma,,https://www.google.com/maps/place/Tahini's+Shawarma/data=!4m2!3m1!1s0x882b35006f65fdf7:0x3c428a87735f1657,,
Tim Hortons,,https://www.google.com/maps/place/Tim+Hortons/data=!4m2!3m1!1s0x882b35b204e4d18b:0xbeec63c940fa31b5,,
Forest Hill Farmhouse,,https://www.google.com/maps/place/Forest+Hill+Farmhouse/data=!4m2!3m1!1s0x882b35b46bdae29d:0x744ea80592fc48e2,,
McDonald's,,https://www.google.com/maps/place/McDonald's/data=!4m2!3m1!1s0x882b35b64a6cd8e3:0x5d3622056c00aa3d,,
Mama Rosa Restaurant & Bar Roncesvalles,,https://www.google.com/maps/place/Mama+Rosa+Restaurant+%26+Bar+Roncesvalles/data=!4m2!3m1!1s0x882b354feac5d8fd:0x768575e967afb50c,,
