Title,Note,URL,Tags,Comment
,,,,
Kaikaki Japanese Cuisine,,https://www.google.com/maps/place/Kaikaki+Japanese+Cuisine/data=!4m2!3m1!1s0x882b2d27fbb2b217:0x1ad4b48479b1c8fb,,
Hana Don Japanese Cuisine & Bar,,https://www.google.com/maps/place/Hana+Don+Japanese+Cuisine+%26+Bar/data=!4m2!3m1!1s0x89d4d37445f95da3:0xee569cc0501459cb,,
Evviva Breakfast and Lunch,,https://www.google.com/maps/place/Evviva+Breakfast+and+Lunch/data=!4m2!3m1!1s0x882b33c4d28281dd:0x788f093142bcaefe,,
Social Llama Cafe,,https://www.google.com/maps/place/Social+Llama+Cafe/data=!4m2!3m1!1s0x882b33077466d665:0x31e8c19d1a0f12ed,,
Gabby's,,https://www.google.com/maps/place/Gabby's/data=!4m2!3m1!1s0x882b332c3a6c4091:0xbc8250815a74f199,,
Piano Piano,,https://www.google.com/maps/place/Piano+Piano/data=!4m2!3m1!1s0x882b337977abfa0b:0xa6ab9538cf42a9ba,,
Fairway Restaurant & Bar,,https://www.google.com/maps/place/Fairway+Restaurant+%26+Bar/data=!4m2!3m1!1s0x89d4cd0941f80b4f:0xf0d23c5810a40f81,,
Ramona’s Kitchen,,https://www.google.com/maps/place/Ramona%E2%80%99s+Kitchen/data=!4m2!3m1!1s0x89d4cd5777112245:0x1baff99888bb295e,,
La Carnita,,https://www.google.com/maps/place/La+Carnita/data=!4m2!3m1!1s0x882b34d060af3fd1:0x2103349d44fac1ea,,
Mad Radish l Healthy Restaurant & Catering,,https://www.google.com/maps/place/Mad+Radish+l+Healthy+Restaurant+%26+Catering/data=!4m2!3m1!1s0x882b3537547b9a8d:0x91aea93d650b1ccd,,
Cafe Landwer,,https://www.google.com/maps/place/Cafe+Landwer/data=!4m2!3m1!1s0x882b3504ae3d72e1:0x6986c20ea1ff3267,,
