Title,Note,URL,Tags,Comment
,,,,
Ristorante Sotto Sotto,,https://www.google.com/maps/place/Ristorante+Sotto+Sotto/data=!4m2!3m1!1s0x882b34a41a0c7531:0x3028fc7df1953a91,,
Miku Toronto,,https://www.google.com/maps/place/Miku+Toronto/data=!4m2!3m1!1s0x89d4cb2a5661156d:0xa58893d17557ef2a,,
To-Ne Sushi,,https://www.google.com/maps/place/To-Ne+Sushi/data=!4m2!3m1!1s0x882b34dc85d3c469:0x77742f2455147770,,
The Hand Roll Sushi Bar,,https://www.google.com/maps/place/The+Hand+Roll+Sushi+Bar/data=!4m2!3m1!1s0x882b357227857ea1:0xc4689cf826a06c19,,
4Ever Sushi,,https://www.google.com/maps/place/4Ever+Sushi/data=!4m2!3m1!1s0x882b35f186af2ef3:0x3bf55cd7a3f6b5a9,,
Mandarin Restaurant,,https://www.google.com/maps/place/Mandarin+Restaurant/data=!4m2!3m1!1s0x882b2dfd8f94a9b3:0x3b6c4bbd262e1dbb,,
Joanne's Deli,,https://www.google.com/maps/place/Joanne's+Deli/data=!4m2!3m1!1s0x882b332f893971a3:0x3cc564cebb4eac42,,
Hazel's Diner,,https://www.google.com/maps/place/Hazel's+Diner/data=!4m2!3m1!1s0x882b333135e0e85f:0x2dac57aad1579d49,,
SMOKESHOW bbq and brew,,https://www.google.com/maps/place/SMOKESHOW+bbq+and+brew/data=!4m2!3m1!1s0x882b3311b9eb7fcf:0x1c6f8054baac1d66,,
Granite Brewery & Tied House,,https://www.google.com/maps/place/Granite+Brewery+%26+Tied+House/data=!4m2!3m1!1s0x882b332fbbb0c383:0xd9cebd5e81389b99,,
Piano Piano,,https://www.google.com/maps/place/Piano+Piano/data=!4m2!3m1!1s0x882b337977abfa0b:0xa6ab9538cf42a9ba,,
Jing Chinese Restaurant,,https://www.google.com/maps/place/Jing+Chinese+Restaurant/data=!4m2!3m1!1s0x89d4cd68b5061603:0x99777a5603ac9f69,,
McSorley's Wonderful Saloon & Grill,,https://www.google.com/maps/place/McSorley's+Wonderful+Saloon+%26+Grill/data=!4m2!3m1!1s0x89d4cccde2c95b91:0xd1965a404d125f6f,,
Eggstatic Toronto,,https://www.google.com/maps/place/Eggstatic+Toronto/data=!4m2!3m1!1s0x89d4cda13acda60d:0x4d1a6bedd1e0f80b,,
Montana’s BBQ & Bar,,https://www.google.com/maps/place/Montana%E2%80%99s+BBQ+%26+Bar/data=!4m2!3m1!1s0x882b2e763b4eb679:0xd0f736678da881,,
TOKYO GRILL at North York,,https://www.google.com/maps/place/TOKYO+GRILL+at+North+York/data=!4m2!3m1!1s0x882b2dd3ea5df8a3:0xb7124d083471d29d,,
Spano’s Diner,,https://www.google.com/maps/place/Spano%E2%80%99s+Diner/data=!4m2!3m1!1s0x882b337a921887c5:0xcd24a8468d5fa621,,
Oxtail Pho & Banh Mi,,https://www.google.com/maps/place/Oxtail+Pho+%26+Banh+Mi/data=!4m2!3m1!1s0x882b34ef565fed9f:0xde9b53cbcd41a6ab,,
Saigon Lotus,,https://www.google.com/maps/place/Saigon+Lotus/data=!4m2!3m1!1s0x882b34c3c751a4bf:0xf2a993aef3481e2a,,
Salad King,,https://www.google.com/maps/place/Salad+King/data=!4m2!3m1!1s0x882b34cac79b46d9:0xdddf2291d1c79ad2,,
Hangout Street,,https://www.google.com/maps/place/Hangout+Street/data=!4m2!3m1!1s0x89d4cb5453b15895:0xeb0d45f2ff16bcc3,,
Java House,,https://www.google.com/maps/place/Java+House/data=!4m2!3m1!1s0x882b34dc523d6f01:0xd6c523b6fa1a7288,,
Juicy Dumpling,,https://www.google.com/maps/place/Juicy+Dumpling/data=!4m2!3m1!1s0x882b3500043c08ab:0xacd47b1c73955319,,
Kensington Kitchen,,https://www.google.com/maps/place/Kensington+Kitchen/data=!4m2!3m1!1s0x882b35c55a456e55:0xcb21a102aae664ea,,
Jimmy John's,,https://www.google.com/maps/place/Jimmy+John's/data=!4m2!3m1!1s0x882b350010b37adb:0x45b02fc689e06028,,
KINTON RAMEN KOREATOWN,,https://www.google.com/maps/place/KINTON+RAMEN+KOREATOWN/data=!4m2!3m1!1s0x882b348d075a6d53:0x1a8a362f69ec608,,
Victory Cafe,,https://www.google.com/maps/place/Victory+Cafe/data=!4m2!3m1!1s0x882b3493ffefe031:0xc31179be7168ff27,,
Earls Kitchen + Bar,,https://www.google.com/maps/place/Earls+Kitchen+%2B+Bar/data=!4m2!3m1!1s0x882b35c7b18cb18b:0xb5c78420e96132db,,
The Fortunate Fox,,https://www.google.com/maps/place/The+Fortunate+Fox/data=!4m2!3m1!1s0x882b351517c824a1:0xef8f6c6ccdea5f12,,
El Furniture Warehouse,,https://www.google.com/maps/place/El+Furniture+Warehouse/data=!4m2!3m1!1s0x882b34cfde024bc9:0x4becf9db76ec2bd9,,
Wilbur Mexicana,,https://www.google.com/maps/place/Wilbur+Mexicana/data=!4m2!3m1!1s0x882b34de9542d05b:0xebdf6cc752312f19,,
Pickle Barrel,,https://www.google.com/maps/place/Pickle+Barrel/data=!4m2!3m1!1s0x882b333cb7b0bbdb:0x3f13f8b4f923960c,,
Moxies Toronto Downtown Restaurant,,https://www.google.com/maps/place/Moxies+Toronto+Downtown+Restaurant/data=!4m2!3m1!1s0x882b34d3c90773ed:0xdc1f8f230d2da2a4,,
